facility_id,facility_name,facility_type,district,state,lat,lon,osm_id,source
FAC0001,"Government Hospital, Girisagar",General Hospital,Bagalkote,Karnataka,16.3537264,75.7045791,7205356303,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0002,Kaladagi PHC,PHC,Bagalkote,Karnataka,16.2077401,75.4990676,7205356342,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0003,Kolara PHC,PHC,Bagalkote,Karnataka,16.471051,75.69474,7205356374,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0004,Ronihal PHC,PHC,Bagalkote,Karnataka,16.5101507,75.6955938,7205356381,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0005,"PHC, Galagali",PHC,Bagalkote,Karnataka,16.4170557,75.4376196,7205356392,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0006,"PHC, Katageri",PHC,Bagalkote,Karnataka,16.073799,75.645941,7205448418,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0007,Lokapur PHC,PHC,Bagalkote,Karnataka,16.1610939,75.3671267,7205448437,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0008,Government Ayurvedic Hospital,General Hospital,Bagalkote,Karnataka,16.3247629,75.6689126,8188036749,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0009,Government Hospital,General Hospital,Bagalkote,Karnataka,16.2486332,75.4900595,8188036774,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0010,Government Hospital,General Hospital,Bagalkote,Karnataka,16.2077702,75.4990711,8188036788,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0011,Government Hospital,General Hospital,Bagalkote,Karnataka,16.0738211,75.6458425,8188036865,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0012,Governmental Hospital,General Hospital,Ballari,Karnataka,15.3534219,76.4920804,1802646087,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0013,Kampli A health subcentre,Sub-Centre,Ballari,Karnataka,15.4068677,76.6038476,6179056375,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0014,Bukkasagara Health Subcentre,Sub-Centre,Ballari,Karnataka,15.3750638,76.5718047,6179056377,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0015,Sanapura Health Subcentre,Sub-Centre,Ballari,Karnataka,15.4397,76.6479,6179056378,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0016,"Government Hospital,D.Hirehal",General Hospital,Ballari,Karnataka,15.005934,76.834643,7113926750,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0017,CHC Sriramanagar,CHC,Ballari,Karnataka,15.5018992,76.5942575,7205430731,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0018,Kampli Government Hospital,General Hospital,Ballari,Karnataka,15.4064959,76.6036531,7205430732,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0019,"Government Hospital, Kurugodu",General Hospital,Ballari,Karnataka,15.3450797,76.8333559,7205430748,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0020,Siddamanahalli PHC,PHC,Ballari,Karnataka,15.268914,76.78441,7205430755,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0021,Hoskera PHC,PHC,Ballari,Karnataka,15.499949,76.5668134,7205430756,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0022,"Government Subdivision Hospital, Gangavathi",General Hospital,Ballari,Karnataka,15.4258693,76.5290112,7205430761,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0023,"PHC, Gadiganur",PHC,Ballari,Karnataka,15.2247259,76.5931476,7205430769,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0024,Moka Government Hospital,General Hospital,Ballari,Karnataka,15.2359708,77.0515274,7205430773,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0025,Sidiginmola PHC,PHC,Ballari,Karnataka,15.173362,77.07347,7205430778,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0026,Ramasagar Government Hospital,General Hospital,Ballari,Karnataka,15.374023,76.572042,7205430780,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0027,Government Hospital,General Hospital,Ballari,Karnataka,15.3031209,76.714412,7205430789,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0028,Kuduthini PHC,PHC,Ballari,Karnataka,15.198551,76.7594283,7205430792,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0029,Urban Primary Health Centre Ballari,PHC,Ballari,Karnataka,15.137783,76.932683,7205430797,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0030,Mokagonala PHC,PHC,Ballari,Karnataka,15.2695049,77.126248,7205430806,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0031,Korlagundi PHC,PHC,Ballari,Karnataka,15.277433,76.9698431,7205430810,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0032,Government Hospital Takkelakote,General Hospital,Ballari,Karnataka,15.5372388,76.8821612,7205430811,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0033,Government Hospital Thoranagallu,General Hospital,Ballari,Karnataka,15.1972303,76.676132,7205430815,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0034,"PHC, Anegundi",PHC,Ballari,Karnataka,15.3532967,76.4920959,7205430827,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0035,PHC Karur,PHC,Ballari,Karnataka,15.4344638,76.9509785,7205430840,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0036,Sirigeri PHC,PHC,Ballari,Karnataka,15.440353,76.838034,7205430846,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0037,Mushtur PHC,PHC,Ballari,Karnataka,15.457077,76.640991,7205430855,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0038,Salgunda Government Hospital,General Hospital,Ballari,Karnataka,15.669152,76.8308866,7205448343,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0039,"Government Hospital, Dadesagur",General Hospital,Ballari,Karnataka,15.694651,76.895716,7205448376,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0040,"Government Hospital, Budagumpa",General Hospital,Ballari,Karnataka,15.5721922,76.699345,7205448380,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0041,"Government Hospital, Karatagi",General Hospital,Ballari,Karnataka,15.604166,76.6601554,7205448411,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0042,Siruguppa Taluk Hospital,Taluk Hospital,Ballari,Karnataka,15.636892,76.894829,7205448444,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0043,"PHC, Ballari",PHC,Ballari,Karnataka,15.138188,76.907105,7569754229,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0044,Government Hospital,General Hospital,Ballari,Karnataka,15.1532729,76.9252722,7569754284,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0045,Government Hospital,General Hospital,Ballari,Karnataka,15.1400842,76.9210396,7569754299,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
FAC0046,Primary Health Centre,PHC,Ballari,Karnataka,15.3296536,77.156144,7813207039,"OpenStreetMap Overpass API, government-facility-filtered (real, live-fetched)"
