facility_id_from,facility_id_to,district,state,travel_time_min
FAC0001,FAC0002,Sarguja,Chhattisgarh,1.5
FAC0001,FAC0003,Sarguja,Chhattisgarh,0.91
FAC0001,FAC0004,Sarguja,Chhattisgarh,3.29
FAC0001,FAC0005,Sarguja,Chhattisgarh,18.84
FAC0001,FAC0006,Sarguja,Chhattisgarh,4.6
FAC0001,FAC0007,Sarguja,Chhattisgarh,3.67
FAC0001,FAC0008,Sarguja,Chhattisgarh,4.15
FAC0001,FAC0009,Sarguja,Chhattisgarh,20.82
FAC0001,FAC0010,Sarguja,Chhattisgarh,27.95
FAC0001,FAC0011,Sarguja,Chhattisgarh,29.96
FAC0001,FAC0012,Sarguja,Chhattisgarh,15.39
FAC0001,FAC0013,Sarguja,Chhattisgarh,4.33
FAC0001,FAC0014,Sarguja,Chhattisgarh,2.48
FAC0001,FAC0015,Sarguja,Chhattisgarh,2.26
FAC0001,FAC0016,Sarguja,Chhattisgarh,3.32
FAC0001,FAC0017,Sarguja,Chhattisgarh,1.87
FAC0001,FAC0018,Sarguja,Chhattisgarh,4.33
FAC0001,FAC0019,Sarguja,Chhattisgarh,30.36
FAC0001,FAC0020,Sarguja,Chhattisgarh,4.31
FAC0001,FAC0021,Sarguja,Chhattisgarh,2.46
FAC0001,FAC0022,Sarguja,Chhattisgarh,19.73
FAC0001,FAC0023,Sarguja,Chhattisgarh,3.94
FAC0001,FAC0024,Sarguja,Chhattisgarh,2.89
FAC0001,FAC0025,Sarguja,Chhattisgarh,4.57
FAC0001,FAC0026,Sarguja,Chhattisgarh,4.92
FAC0001,FAC0027,Sarguja,Chhattisgarh,5.51
FAC0001,FAC0028,Sarguja,Chhattisgarh,1.68
FAC0001,FAC0029,Sarguja,Chhattisgarh,4.52
FAC0001,FAC0030,Sarguja,Chhattisgarh,3.71
FAC0002,FAC0001,Sarguja,Chhattisgarh,1.6
FAC0002,FAC0003,Sarguja,Chhattisgarh,0.91
FAC0002,FAC0004,Sarguja,Chhattisgarh,2.9
FAC0002,FAC0005,Sarguja,Chhattisgarh,18.84
FAC0002,FAC0006,Sarguja,Chhattisgarh,4.36
FAC0002,FAC0007,Sarguja,Chhattisgarh,2.97
FAC0002,FAC0008,Sarguja,Chhattisgarh,3.92
FAC0002,FAC0009,Sarguja,Chhattisgarh,20.81
FAC0002,FAC0010,Sarguja,Chhattisgarh,27.94
FAC0002,FAC0011,Sarguja,Chhattisgarh,29.57
FAC0002,FAC0012,Sarguja,Chhattisgarh,15.0
FAC0002,FAC0013,Sarguja,Chhattisgarh,3.9
FAC0002,FAC0014,Sarguja,Chhattisgarh,2.34
FAC0002,FAC0015,Sarguja,Chhattisgarh,2.59
FAC0002,FAC0016,Sarguja,Chhattisgarh,3.32
FAC0002,FAC0017,Sarguja,Chhattisgarh,1.47
FAC0002,FAC0018,Sarguja,Chhattisgarh,3.63
FAC0002,FAC0019,Sarguja,Chhattisgarh,30.48
FAC0002,FAC0020,Sarguja,Chhattisgarh,4.07
FAC0002,FAC0021,Sarguja,Chhattisgarh,2.45
FAC0002,FAC0022,Sarguja,Chhattisgarh,19.34
FAC0002,FAC0023,Sarguja,Chhattisgarh,3.7
FAC0002,FAC0024,Sarguja,Chhattisgarh,2.5
FAC0002,FAC0025,Sarguja,Chhattisgarh,4.18
FAC0002,FAC0026,Sarguja,Chhattisgarh,4.68
FAC0002,FAC0027,Sarguja,Chhattisgarh,5.12
FAC0002,FAC0028,Sarguja,Chhattisgarh,1.29
