district,state,date,temp_max_c,temp_min_c,precip_mm,rain_mm
Bagalkote,Karnataka,2023-01-01,30.9,17.7,0.0,0.0
Bagalkote,Karnataka,2023-01-02,31.0,17.3,0.0,0.0
Bagalkote,Karnataka,2023-01-03,30.7,20.1,0.0,0.0
Bagalkote,Karnataka,2023-01-04,30.2,17.3,0.0,0.0
Bagalkote,Karnataka,2023-01-05,29.0,19.0,0.0,0.0
Bagalkote,Karnataka,2023-01-06,29.3,19.1,0.0,0.0
Bagalkote,Karnataka,2023-01-07,28.2,19.2,0.0,0.0
Bagalkote,Karnataka,2023-01-08,28.2,17.3,0.0,0.0
Bagalkote,Karnataka,2023-01-09,27.7,13.5,0.0,0.0
Bagalkote,Karnataka,2023-01-10,29.0,13.6,0.0,0.0
Bagalkote,Karnataka,2023-01-11,29.6,13.1,0.0,0.0
Bagalkote,Karnataka,2023-01-12,29.6,13.1,0.0,0.0
Bagalkote,Karnataka,2023-01-13,29.4,13.8,0.0,0.0
Bagalkote,Karnataka,2023-01-14,30.5,14.6,0.0,0.0
Bagalkote,Karnataka,2023-01-15,30.1,14.2,0.0,0.0
Bagalkote,Karnataka,2023-01-16,31.1,14.2,0.0,0.0
Bagalkote,Karnataka,2023-01-17,30.7,15.0,0.0,0.0
Bagalkote,Karnataka,2023-01-18,31.1,14.6,0.0,0.0
Bagalkote,Karnataka,2023-01-19,30.3,16.9,0.0,0.0
Bagalkote,Karnataka,2023-01-20,30.0,17.3,0.0,0.0
Bagalkote,Karnataka,2023-01-21,29.4,16.3,0.0,0.0
Bagalkote,Karnataka,2023-01-22,29.9,18.0,0.0,0.0
Bagalkote,Karnataka,2023-01-23,30.5,16.1,0.0,0.0
Bagalkote,Karnataka,2023-01-24,30.7,19.7,0.0,0.0
Bagalkote,Karnataka,2023-01-25,31.3,20.0,0.4,0.4
Bagalkote,Karnataka,2023-01-26,30.9,18.5,0.0,0.0
Bagalkote,Karnataka,2023-01-27,31.5,18.7,0.0,0.0
Bagalkote,Karnataka,2023-01-28,31.2,17.2,0.0,0.0
Bagalkote,Karnataka,2023-01-29,31.5,15.5,0.0,0.0
Bagalkote,Karnataka,2023-01-30,31.4,17.8,0.0,0.0
Bagalkote,Karnataka,2023-01-31,31.0,20.2,0.0,0.0
Bagalkote,Karnataka,2023-02-01,31.9,19.7,0.0,0.0
Bagalkote,Karnataka,2023-02-02,30.7,19.5,0.0,0.0
Bagalkote,Karnataka,2023-02-03,30.9,18.5,0.0,0.0
Bagalkote,Karnataka,2023-02-04,31.6,17.9,0.0,0.0
Bagalkote,Karnataka,2023-02-05,32.6,18.8,0.0,0.0
Bagalkote,Karnataka,2023-02-06,32.5,18.5,0.0,0.0
Bagalkote,Karnataka,2023-02-07,32.9,17.9,0.0,0.0
Bagalkote,Karnataka,2023-02-08,33.4,18.3,0.0,0.0
Bagalkote,Karnataka,2023-02-09,33.4,19.8,0.0,0.0
Bagalkote,Karnataka,2023-02-10,34.2,19.5,0.0,0.0
Bagalkote,Karnataka,2023-02-11,34.3,18.9,0.0,0.0
Bagalkote,Karnataka,2023-02-12,34.1,18.4,0.0,0.0
Bagalkote,Karnataka,2023-02-13,33.5,19.6,0.0,0.0
Bagalkote,Karnataka,2023-02-14,32.9,17.0,0.0,0.0
Bagalkote,Karnataka,2023-02-15,33.7,16.0,0.0,0.0
Bagalkote,Karnataka,2023-02-16,34.9,17.0,0.0,0.0
Bagalkote,Karnataka,2023-02-17,34.3,17.3,0.0,0.0
Bagalkote,Karnataka,2023-02-18,33.4,17.4,0.0,0.0
Bagalkote,Karnataka,2023-02-19,32.9,18.2,0.0,0.0
Bagalkote,Karnataka,2023-02-20,33.1,18.4,0.0,0.0
Bagalkote,Karnataka,2023-02-21,34.4,18.8,0.0,0.0
Bagalkote,Karnataka,2023-02-22,35.0,19.3,0.0,0.0
Bagalkote,Karnataka,2023-02-23,35.1,19.2,0.0,0.0
Bagalkote,Karnataka,2023-02-24,34.8,20.6,0.0,0.0
Bagalkote,Karnataka,2023-02-25,34.8,19.8,0.0,0.0
Bagalkote,Karnataka,2023-02-26,35.2,19.9,0.0,0.0
Bagalkote,Karnataka,2023-02-27,34.6,20.6,0.0,0.0
Bagalkote,Karnataka,2023-02-28,34.0,20.8,0.0,0.0
Bagalkote,Karnataka,2023-03-01,33.7,20.5,0.0,0.0
Bagalkote,Karnataka,2023-03-02,34.1,20.9,0.0,0.0
Bagalkote,Karnataka,2023-03-03,34.4,19.0,0.0,0.0
Bagalkote,Karnataka,2023-03-04,34.8,20.4,0.0,0.0
Bagalkote,Karnataka,2023-03-05,35.0,21.1,0.0,0.0
Bagalkote,Karnataka,2023-03-06,34.9,22.0,0.0,0.0
Bagalkote,Karnataka,2023-03-07,33.2,20.3,0.0,0.0
Bagalkote,Karnataka,2023-03-08,33.9,21.3,0.0,0.0
Bagalkote,Karnataka,2023-03-09,34.3,20.4,0.0,0.0
Bagalkote,Karnataka,2023-03-10,34.5,20.3,0.0,0.0
Bagalkote,Karnataka,2023-03-11,34.5,20.3,0.0,0.0
Bagalkote,Karnataka,2023-03-12,35.3,22.1,0.0,0.0
Bagalkote,Karnataka,2023-03-13,35.0,22.9,0.0,0.0
Bagalkote,Karnataka,2023-03-14,35.3,19.3,0.0,0.0
Bagalkote,Karnataka,2023-03-15,35.0,20.2,0.6,0.6
Bagalkote,Karnataka,2023-03-16,34.1,22.0,0.4,0.4
Bagalkote,Karnataka,2023-03-17,32.8,21.3,0.0,0.0
Bagalkote,Karnataka,2023-03-18,33.9,20.8,0.0,0.0
Bagalkote,Karnataka,2023-03-19,33.6,20.1,0.0,0.0
Bagalkote,Karnataka,2023-03-20,31.9,18.4,0.0,0.0
Bagalkote,Karnataka,2023-03-21,33.8,19.0,0.0,0.0
Bagalkote,Karnataka,2023-03-22,34.7,21.2,0.0,0.0
Bagalkote,Karnataka,2023-03-23,34.9,20.7,0.0,0.0
Bagalkote,Karnataka,2023-03-24,36.5,21.9,0.0,0.0
Bagalkote,Karnataka,2023-03-25,37.1,23.2,0.0,0.0
Bagalkote,Karnataka,2023-03-26,36.1,21.1,0.0,0.0
Bagalkote,Karnataka,2023-03-27,36.1,20.7,0.0,0.0
Bagalkote,Karnataka,2023-03-28,36.6,20.3,0.0,0.0
Bagalkote,Karnataka,2023-03-29,36.9,20.1,0.0,0.0
Bagalkote,Karnataka,2023-03-30,36.5,19.6,0.0,0.0
Bagalkote,Karnataka,2023-03-31,35.4,20.4,0.0,0.0
Bagalkote,Karnataka,2023-04-01,36.2,21.7,0.0,0.0
Bagalkote,Karnataka,2023-04-02,36.4,22.0,0.0,0.0
Bagalkote,Karnataka,2023-04-03,36.3,20.9,0.0,0.0
Bagalkote,Karnataka,2023-04-04,37.7,21.4,0.0,0.0
Bagalkote,Karnataka,2023-04-05,38.7,22.8,0.0,0.0
Bagalkote,Karnataka,2023-04-06,36.9,25.1,0.0,0.0
Bagalkote,Karnataka,2023-04-07,35.5,23.0,1.7,1.7
Bagalkote,Karnataka,2023-04-08,35.2,22.7,0.5,0.5
Bagalkote,Karnataka,2023-04-09,37.2,23.4,0.0,0.0
Bagalkote,Karnataka,2023-04-10,37.6,24.8,0.0,0.0
Bagalkote,Karnataka,2023-04-11,38.0,24.2,0.0,0.0
Bagalkote,Karnataka,2023-04-12,39.6,21.8,0.0,0.0
