date,facility_id,drug,drug_category,consumption,stock,days_of_cover,district,state
2023-01-01,FAC0001,Isoniazid,anti_tb,12.783958184211428,639.0067142234633,49.985044147958476,Bagalkote,Karnataka
2023-01-02,FAC0001,Isoniazid,anti_tb,12.923551860708,626.0831623627553,48.70819159605758,Bagalkote,Karnataka
2023-01-03,FAC0001,Isoniazid,anti_tb,14.87668017717147,611.2064821855838,45.18063404795178,Bagalkote,Karnataka
2023-01-04,FAC0001,Isoniazid,anti_tb,11.835302391712709,599.3711797938711,45.736511355399024,Bagalkote,Karnataka
2023-01-05,FAC0001,Isoniazid,anti_tb,12.303197129919415,587.0679826639516,45.35256375998241,Bagalkote,Karnataka
2023-01-06,FAC0001,Isoniazid,anti_tb,10.506847703391221,576.5611349605604,45.9841563188564,Bagalkote,Karnataka
2023-01-07,FAC0001,Isoniazid,anti_tb,11.83227095516039,564.7288640053999,45.40569648831828,Bagalkote,Karnataka
2023-01-08,FAC0001,Isoniazid,anti_tb,13.512237734061388,551.2166262713386,43.95161770430816,Bagalkote,Karnataka
2023-01-09,FAC0001,Isoniazid,anti_tb,15.735071427283277,535.4815548440553,41.372012998055645,Bagalkote,Karnataka
2023-01-10,FAC0001,Isoniazid,anti_tb,14.508327846454172,520.973226997601,40.41539431760294,Bagalkote,Karnataka
2023-01-11,FAC0001,Isoniazid,anti_tb,14.669029312298697,506.30419768530237,38.08149037929117,Bagalkote,Karnataka
2023-01-12,FAC0001,Isoniazid,anti_tb,12.459187669149099,493.84501001615325,37.08222310367099,Bagalkote,Karnataka
2023-01-13,FAC0001,Isoniazid,anti_tb,11.003932352115699,482.8410776640375,36.06365212682884,Bagalkote,Karnataka
2023-01-14,FAC0001,Isoniazid,anti_tb,11.55364198179298,471.28743568224456,35.30566804230023,Bagalkote,Karnataka
2023-01-15,FAC0001,Isoniazid,anti_tb,11.33890417727651,459.94853150496806,35.27672763167088,Bagalkote,Karnataka
2023-01-16,FAC0001,Isoniazid,anti_tb,13.946514868245389,446.00201663672266,34.89081614640273,Bagalkote,Karnataka
2023-01-17,FAC0001,Isoniazid,anti_tb,14.094170456932398,431.9078461797903,33.945343246698826,Bagalkote,Karnataka
2023-01-18,FAC0001,Isoniazid,anti_tb,14.85824856078619,417.0495976190041,32.708086543041354,Bagalkote,Karnataka
2023-01-19,FAC0001,Isoniazid,anti_tb,11.046394256368329,406.00320336263576,32.353870347276676,Bagalkote,Karnataka
2023-01-20,FAC0001,Isoniazid,anti_tb,12.757089140797477,393.2461142218383,30.72407972272618,Bagalkote,Karnataka
2023-01-21,FAC0001,Isoniazid,anti_tb,10.917730328905877,382.32838389293244,30.084613464507118,Bagalkote,Karnataka
2023-01-22,FAC0001,Isoniazid,anti_tb,11.676475741972691,370.65190815095974,29.055559545301143,Bagalkote,Karnataka
2023-01-23,FAC0001,Isoniazid,anti_tb,13.596690557168438,357.0552175937913,28.09979167378666,Bagalkote,Karnataka
2023-01-24,FAC0001,Isoniazid,anti_tb,14.315703319778654,342.73951427401266,26.906150969082265,Bagalkote,Karnataka
2023-01-25,FAC0001,Isoniazid,anti_tb,13.092385968178496,329.64712830583414,26.40119800131478,Bagalkote,Karnataka
2023-01-26,FAC0001,Isoniazid,anti_tb,12.351811370378126,317.295316935456,25.037990510251472,Bagalkote,Karnataka
2023-01-27,FAC0001,Isoniazid,anti_tb,11.498459183052406,305.7968577524036,24.477944017911703,Bagalkote,Karnataka
2023-01-28,FAC0001,Isoniazid,anti_tb,11.257309971275127,294.5395477811285,23.48563810371187,Bagalkote,Karnataka
2023-01-29,FAC0001,Isoniazid,anti_tb,11.786198623384474,906.4088034430322,72.18390946080176,Bagalkote,Karnataka
